start_time,end_time,bus_id,route_name,direction
2025-09-02 00:05:01,2025-09-02 00:18:02,1766,907 Long Branch Park,Fairgrounds-bound
2025-09-02 00:18:02,2025-09-02 00:44:00,1766,907 Long Branch Park,Long Branch Park-bound
2025-09-02 00:44:00,2025-09-02 00:58:01,1766,907 Long Branch Park,Fairgrounds-bound
2025-09-02 00:58:01,2025-09-02 01:20:01,1766,907 Long Branch Park,Long Branch Park-bound
2025-09-02 01:20:01,2025-09-02 01:32:01,1766,907 Long Branch Park,Fairgrounds-bound
2025-08-28 17:22:01,2025-08-28 17:52:02,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 17:52:02,2025-08-28 18:05:01,1771,909 Destiny USA,Destiny USA-bound
2025-08-28 18:05:01,2025-08-28 18:28:01,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 18:28:01,2025-08-28 18:45:01,1771,909 Destiny USA,Destiny USA-bound
2025-08-28 18:45:01,2025-08-28 19:07:01,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 19:07:01,2025-08-28 19:24:01,1771,909 Destiny USA,Destiny USA-bound
2025-08-28 19:24:01,2025-08-28 19:52:01,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 19:52:01,2025-08-28 20:10:01,1771,909 Destiny USA,Destiny USA-bound
2025-08-28 20:10:01,2025-08-28 20:39:01,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 20:39:01,2025-08-28 20:59:01,1771,909 Destiny USA,Destiny USA-bound
2025-08-28 20:59:01,2025-08-28 21:22:01,1771,909 Destiny USA,Fairgrounds-bound
2025-08-28 21:22:01,2025-08-28 21:32:01,1771,909 Destiny USA,Destiny USA-bound
2025-09-01 22:07:01,2025-09-01 22:25:01,1775,909 Destiny USA,Fairgrounds-bound
2025-09-01 22:25:01,2025-09-01 22:40:01,1775,909 Destiny USA,Destiny USA-bound
2025-09-01 22:40:01,2025-09-01 23:24:01,1775,909 Destiny USA,Fairgrounds-bound
2025-09-01 23:24:01,2025-09-01 23:40:01,1775,909 Destiny USA,Destiny USA-bound
2025-09-01 23:40:01,2025-09-01 23:50:00,1775,909 Destiny USA,Fairgrounds-bound
2025-09-01 23:50:00,2025-09-02 00:05:01,1775,909 Destiny USA,Destiny USA-bound
2025-09-02 00:05:01,2025-09-02 00:15:02,1775,909 Destiny USA,Fairgrounds-bound
2025-09-02 00:15:02,2025-09-02 00:31:01,1775,909 Destiny USA,Destiny USA-bound
2025-09-02 00:31:01,2025-09-02 00:40:01,1775,909 Destiny USA,Fairgrounds-bound
2025-09-02 00:40:01,2025-09-02 00:52:02,1775,909 Destiny USA,Destiny USA-bound
2025-09-02 00:52:02,2025-09-02 01:01:01,1775,909 Destiny USA,Fairgrounds-bound
2025-09-02 01:01:01,2025-09-02 01:14:01,1775,909 Destiny USA,Destiny USA-bound
2025-09-02 01:14:01,2025-09-02 01:23:01,1775,909 Destiny USA,Fairgrounds-bound
2025-09-02 01:23:01,2025-09-02 01:38:01,1775,909 Destiny USA,Destiny USA-bound
2025-08-25 18:10:01,2025-08-25 18:41:01,1776,909 Destiny USA,Fairgrounds-bound
2025-08-25 18:41:01,2025-08-25 18:56:01,1776,909 Destiny USA,Destiny USA-bound
2025-08-25 18:56:01,2025-08-25 19:10:01,1776,909 Destiny USA,Fairgrounds-bound
2025-08-25 19:10:01,2025-08-25 19:24:01,1776,909 Destiny USA,Destiny USA-bound
2025-08-25 19:24:01,2025-08-25 19:40:01,1776,909 Destiny USA,Fairgrounds-bound
2025-08-25 19:40:01,2025-08-25 19:56:01,1776,909 Destiny USA,Destiny USA-bound
2025-08-25 19:56:01,2025-08-25 20:13:01,1776,909 Destiny USA,Fairgrounds-bound
2025-08-25 20:13:01,2025-08-25 20:28:02,1776,909 Destiny USA,Destiny USA-bound
2025-08-25 20:28:02,2025-08-25 20:44:02,1776,909 Destiny USA,Fairgrounds-bound
2025-08-25 20:44:02,2025-08-25 21:05:01,1776,909 Destiny USA,Destiny USA-bound
2025-08-23 21:04:02,2025-08-23 21:24:02,1900,901 State Fair - Hub,Fairgrounds-bound
