,start_time,end_time,bus_id,route_name,direction
1951,2024-08-21 15:41:02,2024-08-21 15:54:02,1778,901 State Fair - Hub,hub-bound
1478,2024-08-21 15:41:02,2024-08-21 16:05:01,1771,909 Destiny USA,Fairgrounds-bound
1952,2024-08-21 15:54:02,2024-08-21 16:12:01,1778,901 State Fair - Hub,Fairgrounds-bound
4634,2024-08-21 15:55:02,2024-08-21 16:04:01,2242,909 Destiny USA,Destiny USA-bound
3218,2024-08-21 16:00:05,2024-08-21 16:06:03,1910,907 Long Branch Park,Long Branch Park-bound
4314,2024-08-21 16:01:02,2024-08-21 16:14:02,2238,901 State Fair - Hub,hub-bound
4635,2024-08-21 16:04:01,2024-08-21 16:33:02,2242,909 Destiny USA,Fairgrounds-bound
1479,2024-08-21 16:05:01,2024-08-21 16:15:01,1771,909 Destiny USA,Destiny USA-bound
3219,2024-08-21 16:06:03,2024-08-21 16:24:01,1910,907 Long Branch Park,Fairgrounds-bound
1953,2024-08-21 16:12:01,2024-08-21 16:25:02,1778,901 State Fair - Hub,hub-bound
4315,2024-08-21 16:14:02,2024-08-21 16:28:02,2238,901 State Fair - Hub,Fairgrounds-bound
1480,2024-08-21 16:15:01,2024-08-21 16:49:02,1771,909 Destiny USA,Fairgrounds-bound
3220,2024-08-21 16:24:01,2024-08-21 16:36:01,1910,907 Long Branch Park,Long Branch Park-bound
1954,2024-08-21 16:25:02,2024-08-21 16:37:02,1778,901 State Fair - Hub,Fairgrounds-bound
4316,2024-08-21 16:28:02,2024-08-21 16:37:02,2238,901 State Fair - Hub,hub-bound
4636,2024-08-21 16:33:02,2024-08-21 16:46:01,2242,909 Destiny USA,Destiny USA-bound
3221,2024-08-21 16:36:01,2024-08-21 17:08:01,1910,907 Long Branch Park,Fairgrounds-bound
4317,2024-08-21 16:37:02,2024-08-21 16:58:02,2238,901 State Fair - Hub,Fairgrounds-bound
1955,2024-08-21 16:37:02,2024-08-21 16:45:02,1778,901 State Fair - Hub,hub-bound
1956,2024-08-21 16:45:02,2024-08-21 17:04:00,1778,901 State Fair - Hub,Fairgrounds-bound
4637,2024-08-21 16:46:01,2024-08-21 17:18:01,2242,909 Destiny USA,Fairgrounds-bound
1481,2024-08-21 16:49:02,2024-08-21 17:00:07,1771,909 Destiny USA,Destiny USA-bound
4318,2024-08-21 16:58:02,2024-08-21 17:08:01,2238,901 State Fair - Hub,hub-bound
1482,2024-08-21 17:00:07,2024-08-21 17:42:03,1771,909 Destiny USA,Fairgrounds-bound
1957,2024-08-21 17:04:00,2024-08-21 17:13:01,1778,901 State Fair - Hub,hub-bound
4319,2024-08-21 17:08:01,2024-08-21 17:31:02,2238,901 State Fair - Hub,Fairgrounds-bound
